,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
344,"Bedford, Virginia",26.2,49769.0,83.1,7944,20085,32.5,295.0,284.0,11.0,14.25,0.4459,37.34003,-79.5221,3.3,156158.0,0.01468757779437391,0.0005476723923325865,0.014139905402041325,2.528323262839879,Virginia
345,"Beebe, Arkansas",14.3,55960.0,89.9,4763,13073,50.7,341.0,303.0,38.0,14.333333333333336,0.4929,35.09825,-91.91741999999999,4.5,128506.0,0.026084295876998394,0.002906754379254953,0.02317754149774344,2.744698719294562,Arkansas
346,"Beech Grove, Indiana",21.1,39770.0,86.8,5068,12914,1517.0,456.0,432.0,24.0,18.75,0.4779,39.71638,-86.09143,5.5,112676.0,0.035310515719374325,0.0018584481957565433,0.033452067523617776,2.548145224940805,Indiana
347,"Beeville, Texas",24.9,45246.0,74.4,7216,28662,22.7,424.0,343.0,81.0,16.285714285714285,0.4613498953178414,28.402479999999997,-97.71085,4.587610195477113,115040.0,0.014793105854441421,0.002826041448607913,0.011967064405833509,3.972006651884701,Texas
348,"Beggs, Oklahoma",23.8,49653.0,85.7,1738,4717,13.4,19.0,16.0,3.0,15.0,0.4613498953178414,35.76007,-96.04374,4.587610195477113,110722.0,0.004027983888064448,0.0006359974560101759,0.0033919864320542717,2.7140391254315306,Oklahoma
349,"Bel Air, Maryland",19.1,94986.0,94.7,48016,129746,667.35,277.0,255.0,22.0,13.875,0.4107,39.54172,-76.32386500000001,3.7,333230.0,0.0021349405762027345,0.00016956206742404391,0.001965378508778691,2.7021409530156615,Maryland
350,"Belding, Michigan",16.5,47132.0,86.2,4098,10789,51.8,64.0,48.0,16.0,24.4,0.4613498953178414,43.06537,-85.25823000000003,4.587610195477113,117164.0,0.005931967744925387,0.0014829919362313467,0.0044489758086940405,2.632747681795998,Michigan
351,"Belen, New Mexico",30.8,36773.0,79.7,8121,21691,25.2,659.0,537.0,122.0,15.888888888888893,0.4587,34.602709999999995,-106.65988999999999,4.4,118710.0,0.03038126411875893,0.005624452537918953,0.02475681158083998,2.6709764807289744,New Mexico
352,"Belfast, Maine",15.1,52226.0,95.2,3836,8981,46.5,129.0,119.0,10.0,11.75,0.4613498953178414,44.466409999999996,-69.04163,4.587610195477113,201128.0,0.014363656608395501,0.0011134617525887986,0.013250194855806703,2.341240875912409,Maine
353,"Belfield, North Dakota",4.6,71042.0,76.9,708,1922,0.9,12.0,12.0,0.0,13.0,0.4613498953178414,46.89612,-103.27064,4.587610195477113,153038.0,0.006243496357960458,0.0,0.006243496357960458,2.714689265536723,North Dakota
354,"Belgrade, Minnesota",18.5,60690.0,91.8,964,2622,5.3,0.0,0.0,0.0,16.0,0.4302,45.46351,-94.95259,4.5,177079.0,0.0,0.0,0.0,2.719917012448133,Minnesota
355,"Belgrade, Montana",10.0,66028.0,93.2,7430,20288,15.8,220.0,196.0,24.0,13.714285714285715,0.4509,45.97985,-111.13975,0.9,319752.0,0.01084384858044164,0.0011829652996845426,0.009660883280757098,2.730551816958277,Montana
356,"Belington, West Virginia",29.5,40909.0,81.9,1758,5274,24.5,18.0,10.0,8.0,14.666666666666664,0.4613498953178414,39.03087,-79.96234,4.587610195477113,67482.0,0.0034129692832764505,0.0015168752370117557,0.0018960940462646946,3.0,West Virginia
357,"Bell Gardens, California",29.7,39498.0,46.1,24088,102433,6586.1,1097.0,942.0,155.0,23.857142857142854,0.5016,33.97074,-118.17083999999998,5.2,448407.0,0.010709439340837425,0.0015131842277391076,0.009196255113098318,4.252449352374627,California
358,"Bella Vista, Arkansas",4.5,65450.0,95.9,12366,28873,222.7,259.0,193.0,66.0,15.0,0.4692,36.46647,-94.26151999999999,2.4,173794.0,0.00897031829044436,0.002285872614553389,0.006684445675890971,2.3348698043021185,Arkansas
359,"Bellaire, Texas",1.7,172205.0,97.2,7011,19283,1808.4,305.0,277.0,28.0,18.0,0.4958,29.70443,-95.46175,5.0,899127.0,0.015817040916869782,0.001452056215319193,0.01436498470155059,2.750392240764513,Texas
360,"Bellbrook, Ohio",3.7,88651.0,96.4,4270,11161,286.3,60.0,57.0,3.0,18.2,0.4618,39.63476,-84.07969,5.6,231189.0,0.0053758623779231254,0.00026879311889615624,0.005107069259026969,2.613817330210773,Ohio
361,"Belle Fourche, South Dakota",12.8,43442.0,91.4,3299,8000,2.5,89.0,76.0,13.0,14.8,0.4613498953178414,44.9518,-103.88835999999999,4.587610195477113,150531.0,0.011125,0.001625,0.0095,2.4249772658381326,South Dakota
362,"Belle Glade, Florida",39.1,25830.0,62.7,7253,22603,72.7,1261.0,966.0,295.0,19.625,0.5252,26.639409999999998,-80.55031,5.0,121945.0,0.055789054550280937,0.013051364863071273,0.04273768968720966,3.116365641803392,Florida
363,"Belle Plaine, Kansas",8.3,48362.0,93.9,1052,2824,15.4,18.0,13.0,5.0,11.0,0.4613498953178414,37.37785,-97.27503,4.587610195477113,106157.0,0.006373937677053824,0.0017705382436260624,0.004603399433427762,2.6844106463878328,Kansas
364,"Belle Plaine, Minnesota",6.3,82298.0,93.7,2947,9311,33.1,78.0,74.0,4.0,22.5,0.3964,44.60236,-93.77421,3.0,248427.0,0.008377188271936419,0.000429599398560842,0.007947588873375577,3.159484221241941,Minnesota
365,"Belle, Missouri",21.8,29836.0,76.8,1347,2727,11.0,14.0,11.0,3.0,12.5,0.4613498953178414,38.27533,-91.74975,4.587610195477113,116892.0,0.005133846718005134,0.0011001100110011,0.004033736707004034,2.024498886414254,Missouri
366,"Bellefontaine, Ohio",19.0,51637.0,89.7,7576,18946,73.1,427.0,404.0,23.0,14.625,0.4613498953178414,40.36589,-83.75613,4.587610195477113,130656.0,0.02253773883669376,0.001213976564974137,0.021323762271719626,2.500791974656811,Ohio
367,"Belleview, Florida",22.6,39929.0,83.2,5749,18107,250.0,237.0,211.0,26.0,18.25,0.4581,29.05306,-82.03754,9.0,129553.0,0.013088860661622577,0.00143590876456619,0.011652951897056387,3.149591233257958,Florida
368,"Belleville, Michigan",15.2,56662.0,86.5,16465,40824,242.1,96.0,90.0,6.0,19.5,0.497,42.17903,-83.48676,7.4,197315.0,0.0023515579071134627,0.00014697236919459142,0.002204585537918871,2.4794412389918006,Michigan
369,"Bellevue, Idaho",4.5,59243.0,82.5,1415,3789,6.1,23.0,18.0,5.0,12.0,0.4613498953178414,43.358259999999994,-114.25221,4.587610195477113,344154.0,0.006070203219846925,0.0013196093956188968,0.004750593824228029,2.6777385159010603,Idaho
370,"Bellevue, Kentucky",10.2,56827.0,92.1,2515,5792,2450.5,103.0,100.0,3.0,17.0,0.4636,39.10196,-84.47913,3.6,127263.0,0.017783149171270718,0.0005179558011049724,0.017265193370165747,2.3029821073558647,Kentucky
371,"Bellevue, Nebraska",9.5,62604.0,91.59999999999998,24603,66286,579.0666666666666,1068.0,994.0,74.0,16.36,0.4157,41.13983666666667,-95.93076333333333,2.7999999999999994,168928.66666666666,0.01611199951724346,0.0011163744983857828,0.014995625018857678,2.694224281591676,Nebraska
372,"Bellevue, Ohio",6.7,59452.0,93.8,4903,12667,42.3,32.0,31.0,1.0,15.666666666666664,0.4613498953178414,41.24463,-82.84455,4.587610195477113,106914.0,0.0025262493092287047,7.894529091339702e-05,0.0024473040183153076,2.583520293697736,Ohio
373,"Bells, Tennessee",12.0,46969.0,76.7,1827,5001,19.9,29.0,25.0,4.0,13.0,0.4613498953178414,35.69491,-89.09725999999998,4.587610195477113,99194.0,0.0057988402319536095,0.0007998400319936012,0.004999000199960008,2.7372742200328406,Tennessee
374,"Bellville, Texas",9.7,59984.0,83.5,3985,10381,19.5,80.0,71.0,9.0,14.333333333333336,0.4613498953178414,29.978790000000004,-96.25057,4.587610195477113,246117.0,0.007706386667951064,0.0008669685001444948,0.00683941816780657,2.6050188205771643,Texas
375,"Belmond, Iowa",14.7,51641.0,90.9,1430,3066,13.0,5.0,5.0,0.0,13.0,0.4613498953178414,42.84308,-93.62003,4.587610195477113,79749.0,0.0016307893020221786,0.0,0.0016307893020221786,2.144055944055944,Iowa
376,"Belmont, California",4.5,125546.0,95.6,10349,27202,1772.8,408.0,377.0,31.0,21.33333333333333,0.4846,37.5135,-122.29905,3.8,1823582.0,0.014998897139916183,0.0011396220866112786,0.013859275053304905,2.628466518504203,California
377,"Belmont, North Carolina",12.8,61548.0,89.5,8667,22968,283.0,548.0,513.0,35.0,17.714285714285715,0.4493,35.21042,-81.04074,3.8,223910.0,0.023859282479972134,0.0015238592824799722,0.02233542319749216,2.6500519210799585,North Carolina
378,"Belpre, Ohio",17.6,43059.0,88.6,4151,9388,111.5,118.0,107.0,11.0,16.5,0.4613498953178414,39.31734,-81.61891,4.587610195477113,118852.0,0.012569237324243716,0.001171708564124414,0.011397528760119301,2.2616237051312935,Ohio
379,"Belton, Missouri",10.0,63307.0,89.9,10099,27190,220.7,927.0,856.0,71.0,14.444444444444445,0.386,38.78686,-94.54993,3.5,164862.0,0.034093416697315186,0.0026112541375505702,0.03148216255976462,2.692345776809585,Missouri
380,"Belton, South Carolina",30.3,41142.0,79.7,6796,19301,57.1,228.0,216.0,12.0,18.5,0.4687,34.51778,-82.47664,4.4,122957.0,0.011812859437334853,0.0006217294440702554,0.011191129993264598,2.8400529723366685,South Carolina
381,"Belton, Texas",16.5,63679.0,83.7,12977,37916,125.2,631.0,591.0,40.0,15.4,0.4226,31.05136,-97.49967,7.4,177519.0,0.0166420508492457,0.0010549636037556704,0.01558708724549003,2.9217846960006164,Texas
382,"Belvidere, Illinois",15.6,58654.0,83.6,12258,34292,153.4,345.0,280.0,65.0,14.818181818181818,0.4613498953178414,42.245129999999996,-88.8407,4.587610195477113,153894.0,0.010060655546483145,0.0018954858275982737,0.008165169718884872,2.7975199869472998,Illinois
383,"Belvidere, New Jersey",6.6,60938.0,90.5,3212,7834,115.2,88.0,88.0,0.0,9.75,0.4312,40.82797,-75.0365,5.2,228376.0,0.011233086545825888,0.0,0.011233086545825888,2.4389788293897885,New Jersey
384,"Belzoni, Mississippi",38.9,25238.0,74.5,2142,5854,11.4,14.0,11.0,3.0,17.5,0.4613498953178414,33.18468,-90.48436,4.587610195477113,168928.0,0.0023915271609156134,0.0005124701059104886,0.0018790570550051248,2.7329598506069095,Mississippi
385,"Benicia, California",7.2,95291.0,96.3,11201,28262,374.2,559.0,540.0,19.0,18.75,0.4011,38.09407,-122.13216000000001,4.2,618691.0,0.019779208831646734,0.0006722808010756493,0.019106928030571086,2.523167574323721,California
386,"Bennettsville, South Carolina",34.2,34229.0,64.0,6279,18182,34.8,404.0,321.0,83.0,16.666666666666668,0.4613498953178414,34.62635,-79.70984,4.587610195477113,44258.0,0.02221977780222198,0.004564954350456496,0.017654823451765483,2.8956840261188086,South Carolina
387,"Bennington, Nebraska",6.3,104320.0,95.7,3287,10451,82.9,17.0,17.0,0.0,15.25,0.4799,41.3698,-96.1914,3.5,278532.0,0.0016266385991771121,0.0,0.0016266385991771121,3.179494980225129,Nebraska
388,"Benson, Arizona",25.9,38010.0,88.9,4141,9033,4.9,145.0,136.0,9.0,19.285714285714285,0.4488,32.17426,-110.37704,6.0,137670.0,0.016052252850658696,0.0009963467286615742,0.015055906121997122,2.1813571601062547,Arizona
389,"Benson, Minnesota",16.5,50638.0,87.2,1979,4338,8.6,10.0,7.0,3.0,42.0,0.4613498953178414,45.31145,-95.57235,4.587610195477113,112756.0,0.002305209774089442,0.0006915629322268327,0.0016136468418626094,2.1920161697827187,Minnesota
390,"Benson, North Carolina",31.5,42392.0,74.8,5301,15182,62.2,255.0,235.0,20.0,15.2,0.4053,35.39895999999999,-78.51901,3.5,162188.0,0.016796206033460676,0.0013173494928204453,0.015478856540640231,2.863987926806263,North Carolina
391,"Bentley, Kansas",7.3,64464.0,87.4,167,558,681.5,1.0,1.0,0.0,15.0,0.4553,37.88679000000001,-97.51471,3.9,106747.0,0.0017921146953405018,0.0,0.0017921146953405018,3.341317365269461,Kansas
392,"Benton Harbor, Michigan",48.0,30939.0,75.1,12972,31170,178.6,617.0,438.0,179.0,23.363636363636363,0.487,42.11367,-86.36565,3.9,102862.0,0.019794674366377926,0.00574270131536734,0.014051973051010587,2.402867715078631,Michigan
393,"Benton, Illinois",22.1,41102.0,83.1,4618,10905,45.5,87.0,63.0,24.0,14.666666666666664,0.4613498953178414,37.99769000000001,-88.91698000000002,4.587610195477113,65562.0,0.00797799174690509,0.002200825309491059,0.005777166437414031,2.3614118666089214,Illinois
394,"Benton, Kansas",14.2,73021.0,97.3,843,2408,13.6,37.0,36.0,1.0,14.0,0.3771,37.82631,-97.11164000000001,2.2,187009.0,0.015365448504983389,0.0004152823920265781,0.014950166112956811,2.8564650059311982,Kansas
395,"Benton, Kentucky",16.9,49240.0,89.5,8160,19582,37.5,148.0,144.0,4.0,20.4,0.4613498953178414,36.85642,-88.33455,4.587610195477113,123268.0,0.007557961393116127,0.0002042692268409764,0.007353692166275151,2.3997549019607844,Kentucky
396,"Benton, Tennessee",20.5,41492.0,75.6,2015,4798,36.3,33.0,32.0,1.0,16.0,0.4613498953178414,35.16905,-84.62581,4.587610195477113,129228.0,0.006877865777407253,0.00020842017507294707,0.006669445602334306,2.3811414392059556,Tennessee
397,"Bentonville, Arkansas",7.3,80764.0,93.3,18289,53959,157.8,749.0,664.0,85.0,15.26315789473684,0.4692,36.35041,-94.25426,2.4,235300.0,0.013880909579495542,0.0015752701124928186,0.012305639467002725,2.950352671004429,Arkansas
398,"Benwood, West Virginia",20.9,36389.0,90.8,782,1662,247.6,1.0,0.0,1.0,13.0,0.4613498953178414,40.008379999999995,-80.72244,4.587610195477113,47007.0,0.0006016847172081829,0.0006016847172081829,0.0,2.125319693094629,West Virginia
399,"Berea, Kentucky",24.2,46106.0,85.5,9292,25186,1019.9,450.0,430.0,20.0,16.555555555555557,0.4627,37.571455,-84.28103999999999,3.5,135826.0,0.017867069006590963,0.0007940919558484873,0.017072977050742476,2.7105036590615583,Kentucky
400,"Berea, Ohio",11.2,57295.0,92.2,7174,18903,1202.6,192.0,181.0,11.0,18.0,0.5204,41.36865,-81.86317,6.3,141979.0,0.010157117917790826,0.0005819182140400995,0.009575199703750727,2.6349316977976023,Ohio
401,"Beresford, South Dakota",4.5,62785.0,93.2,1343,3722,6.5,17.0,13.0,4.0,14.333333333333336,0.4613498953178414,43.077690000000004,-96.79149,4.587610195477113,164444.0,0.0045674368619022035,0.0010746910263299302,0.003492745835572273,2.7714072970960535,South Dakota
402,"Berkley, Michigan",5.6,77772.0,96.3,6504,15360,2406.7,101.0,89.0,12.0,19.8,0.4694,42.49788,-83.18588000000003,3.5,228201.0,0.006575520833333333,0.00078125,0.0057942708333333336,2.3616236162361623,Michigan
403,"Berlin, Maryland",11.0,65203.0,91.2,9722,23701,86.5,71.0,68.0,3.0,12.4,0.4613498953178414,38.32022,-75.21805,4.587610195477113,258338.0,0.002995654191806253,0.00012657693768195434,0.0028690772541242987,2.437872865665501,Maryland
404,"Berlin, New Hampshire",19.4,37969.0,86.7,3941,10382,36.8,198.0,174.0,24.0,13.0,0.4613498953178414,44.49905,-71.15716,4.587610195477113,75401.0,0.019071469851666346,0.0023116933153534964,0.01675977653631285,2.6343567622430855,New Hampshire
405,"Berlin, Wisconsin",13.4,48462.0,84.7,3776,8816,24.9,86.0,83.0,3.0,15.0,0.4613498953178414,43.99779,-88.96727,4.587610195477113,106114.0,0.009754990925589837,0.00034029038112522685,0.00941470054446461,2.3347457627118646,Wisconsin
406,"Bernalillo, New Mexico",19.0,41871.0,81.9,3936,11319,68.6,479.0,393.0,86.0,14.4,0.4175,35.35821,-106.58332,8.1,207466.0,0.04231822599169538,0.00759784433253821,0.03472038165915717,2.8757621951219514,New Mexico
407,"Berne, Indiana",14.3,47241.0,92.0,2514,8308,49.8,16.0,15.0,1.0,14.666666666666664,0.4613498953178414,40.66372,-84.92551999999998,4.587610195477113,135692.0,0.0019258545979778526,0.00012036591237361579,0.0018054886856042369,3.3046937151949085,Indiana
408,"Bernie, Missouri",20.4,38958.0,72.0,1060,2762,16.7,15.0,14.0,1.0,13.5,0.4613498953178414,36.664320000000004,-90.00176,4.587610195477113,57543.0,0.005430847212165098,0.0003620564808110065,0.005068790731354091,2.6056603773584905,Missouri
409,"Berry, Alabama",34.8,38566.0,70.1,1582,3801,6.8,3.0,3.0,0.0,17.333333333333332,0.4613498953178414,33.607209999999995,-87.54901,4.587610195477113,98564.0,0.0007892659826361484,0.0,0.0007892659826361484,2.4026548672566372,Alabama
410,"Berryville, Arkansas",15.5,40317.0,79.3,3676,11237,19.2,249.0,224.0,25.0,14.0,0.4613498953178414,36.342909999999996,-93.5564,4.587610195477113,120058.0,0.022158939218652664,0.0022247930942422356,0.01993414612441043,3.056855277475517,Arkansas
411,"Berryville, Virginia",7.7,67286.0,77.7,3374,9005,41.9,48.0,44.0,4.0,16.666666666666668,0.4613498953178414,39.16473,-77.98394,4.587610195477113,347666.0,0.005330372015546919,0.0004441976679622432,0.0048861743475846755,2.6689389448725547,Virginia
412,"Berthoud, Colorado",6.7,87513.0,97.0,4521,12580,60.5,48.0,45.0,3.0,19.0,0.4396,40.29803,-105.10363999999998,3.4,433739.0,0.0038155802861685214,0.0002384737678855326,0.003577106518282989,2.782570227825702,Colorado
413,"Bertram, Texas",22.5,63154.0,91.6,1938,6110,11.7,27.0,25.0,2.0,17.0,0.4613498953178414,30.782190000000003,-98.04562,4.587610195477113,209850.0,0.0044189852700491,0.0003273322422258593,0.004091653027823241,3.152734778121775,Texas
414,"Berwick, Louisiana",21.3,43906.0,72.6,1760,4732,258.8,98.0,89.0,9.0,17.0,0.4613498953178414,29.69486,-91.23765999999999,4.587610195477113,154931.0,0.020710059171597635,0.0019019442096365174,0.018808114961961116,2.6886363636363635,Louisiana
415,"Bessemer City, North Carolina",19.2,39163.0,74.4,4829,13046,120.9,97.0,87.0,10.0,16.2,0.4493,35.31749,-81.28818000000003,3.8,118691.0,0.0074352291890234555,0.0007665184730952016,0.006668710715928254,2.701594533029613,North Carolina
416,"Bethany, Missouri",16.7,46683.0,77.8,1801,4466,10.0,95.0,93.0,2.0,16.75,0.4613498953178414,40.26243,-94.03596,4.587610195477113,90464.0,0.021271831616659204,0.0004478280340349306,0.020824003582624272,2.4797334813992227,Missouri
417,"Bethany, Oklahoma",15.3,48846.0,88.2,7938,20240,980.7,746.0,685.0,61.0,18.75,0.4969,35.51406,-97.64603000000001,3.8,116698.0,0.036857707509881425,0.0030138339920948616,0.03384387351778656,2.5497606449987402,Oklahoma
418,"Bethel Springs, Tennessee",36.3,29656.0,78.4,1356,3448,13.4,2.0,2.0,0.0,14.0,0.4613498953178414,35.26726,-88.62638000000004,4.587610195477113,78817.0,0.000580046403712297,0.0,0.000580046403712297,2.5427728613569323,Tennessee
419,"Bethel, North Carolina",19.4,31685.0,72.9,1137,2762,16.2,12.0,11.0,1.0,15.0,0.4685,35.81566,-77.36924,7.5,58345.0,0.004344677769732078,0.0003620564808110065,0.0039826212889210715,2.4291996481970095,North Carolina
420,"Bethune, South Carolina",19.7,28333.0,82.4,886,2068,8.7,8.0,7.0,1.0,12.0,0.426,34.43983,-80.37879000000002,4.1,72937.0,0.0038684719535783366,0.00048355899419729207,0.0033849129593810446,2.3340857787810383,South Carolina
421,"Bettendorf, Iowa",5.3,77221.0,97.0,14496,37308,505.5,59.0,0.0,59.0,15.666666666666664,0.4657,41.56601,-90.46661999999999,4.4,221308.0,0.0015814302562453092,0.0015814302562453092,0.0,2.573675496688742,Iowa
422,"Beulah, North Dakota",6.8,83629.0,90.2,1534,3721,5.3,42.0,36.0,6.0,12.333333333333336,0.4613498953178414,47.25857,-101.77837,4.587610195477113,198341.0,0.011287288363343187,0.0016124697661918839,0.009674818597151304,2.425684485006519,North Dakota
423,"Beulaville, North Carolina",27.2,45747.0,82.3,3342,8512,32.1,68.0,60.0,8.0,17.0,0.4613498953178414,34.896440000000005,-77.75658,4.587610195477113,109956.0,0.007988721804511278,0.0009398496240601503,0.007048872180451127,2.546977857570317,North Carolina
424,"Beverly, Massachusetts",8.3,77893.0,94.3,16408,41731,1010.7,395.0,330.0,65.0,13.428571428571427,0.4955,42.5681,-70.86273,5.1,484198.0,0.009465385444873116,0.0015575950732069684,0.007907790371666147,2.543332520721599,Massachusetts
425,"Beverly, New Jersey",16.0,64085.0,90.7,4427,11115,1160.5,73.0,52.0,21.0,11.333333333333336,0.4455,40.053329999999995,-74.91419,4.4,159614.0,0.00656770130454341,0.0018893387314439945,0.004678362573099415,2.5107296137339055,New Jersey
426,"Biddeford, Maine",17.0,51118.0,88.2,9172,23345,186.5,816.0,729.0,87.0,12.6,0.4175,43.49603,-70.49547,2.0,272274.0,0.03495395159563076,0.0037267080745341614,0.031227243521096595,2.5452464020933276,Maine
427,"Big Bear Lake, California",16.0,50047.0,89.6,2165,5234,155.1,302.0,248.0,54.0,25.0,0.4394,34.23502,-116.90505,6.1,339861.0,0.057699656094764996,0.010317157050057318,0.047382499044707684,2.4175519630484987,California
428,"Big Lake, Minnesota",10.3,85217.0,93.3,12314,37772,107.2,91.0,76.0,15.0,16.0,0.353,45.38,-93.73906,1.9,242877.0,0.0024091919940696814,0.0003971195594620354,0.002012072434607646,3.0674029559850577,Minnesota
429,"Big Rapids, Michigan",43.7,40219.0,88.5,6813,20769,57.1,189.0,157.0,32.0,25.0,0.4613498953178414,43.69893,-85.48913,4.587610195477113,119569.0,0.00910010111223458,0.0015407578602725216,0.0075593432519620585,3.0484368119771026,Michigan
430,"Big Sandy, Tennessee",36.3,33625.0,78.3,1396,3326,11.8,12.0,11.0,1.0,12.0,0.4613498953178414,36.24504,-88.03583,4.587610195477113,93163.0,0.0036079374624173183,0.0003006614552014432,0.003307276007215875,2.3825214899713467,Tennessee
431,"Big Sandy, Texas",17.8,48675.0,80.6,1973,5303,21.1,0.0,0.0,0.0,11.428571428571427,0.4613498953178414,32.633140000000004,-95.08596999999999,4.587610195477113,143429.0,0.0,0.0,0.0,2.6877850988342624,Texas
432,"Big Stone Gap, Virginia",26.1,42721.0,73.0,4072,11630,59.7,159.0,154.0,5.0,14.0,0.4613498953178414,36.84876,-82.75815,4.587610195477113,87325.0,0.013671539122957868,0.0004299226139294927,0.013241616509028374,2.856090373280943,Virginia
433,"Biggs, California",21.5,55112.0,75.2,1081,4030,17.7,45.0,29.0,16.0,14.333333333333336,0.4781,39.419059999999995,-121.76251,6.7,207473.0,0.011166253101736972,0.003970223325062035,0.007196029776674938,3.7280296022201664,California
434,"Billings, Missouri",13.6,54722.0,86.1,1948,4937,22.8,16.0,13.0,3.0,13.0,0.4248,37.03629,-93.52991,2.1,172550.0,0.0032408345148875837,0.0006076564715414219,0.0026331780433461616,2.534394250513347,Missouri
435,"Birch Tree, Missouri",56.4,29414.0,64.2,1067,2455,3.5,8.0,4.0,4.0,11.0,0.4613498953178414,36.92524,-91.50254,4.587610195477113,85978.0,0.003258655804480652,0.001629327902240326,0.001629327902240326,2.3008434864104967,Missouri
436,"Birmingham, Michigan",4.4,114537.0,98.4,8982,21066,1539.2,251.0,242.0,9.0,22.0,0.4694,42.54421,-83.21766,3.5,507868.0,0.011914934016899269,0.0004272287097692965,0.011487705307129973,2.3453573814295257,Michigan
437,"Bisbee, Arizona",26.3,36250.0,85.4,3324,6770,12.3,291.0,217.0,74.0,15.5,0.4488,31.43389,-109.91049,6.0,112126.0,0.04298375184638109,0.010930576070901034,0.03205317577548006,2.036702767749699,Arizona
438,"Biscoe, North Carolina",17.6,38424.0,64.9,1524,4591,33.3,153.0,150.0,3.0,15.666666666666664,0.4613498953178414,35.34314000000001,-79.7508,4.587610195477113,86000.0,0.033326072751034636,0.000653452406883032,0.0326726203441516,3.0124671916010497,North Carolina
439,"Bishop, California",13.3,55208.0,91.0,6219,14412,4.8,185.0,156.0,29.0,14.222222222222221,0.4613498953178414,37.50147,-118.40491999999999,4.587610195477113,376188.0,0.012836525117957258,0.002012212045517624,0.010824313072439634,2.3174143753014955,California
440,"Bishop, Texas",22.1,50172.0,78.4,1496,4278,10.6,58.0,54.0,4.0,14.5,0.4609,27.6194,-97.74459,4.9,105990.0,0.013557737260402058,0.0009350163627863488,0.012622720897615708,2.859625668449198,Texas
441,"Bishopville, South Carolina",46.0,31670.0,78.0,4269,12469,25.2,204.0,166.0,38.0,20.4,0.4613498953178414,34.21605,-80.27023,4.587610195477113,76235.0,0.01636057422407571,0.0030475579437003767,0.013313016280375331,2.920824549074725,South Carolina
442,"Bismarck, Missouri",23.3,40323.0,75.4,1661,3867,23.4,35.0,31.0,4.0,9.0,0.4556,37.75235,-90.64099,2.8,62731.0,0.009050943884147919,0.001034393586759762,0.008016550297388157,2.328115593016255,Missouri
443,"Bixby, Oklahoma",5.7,77598.0,95.2,9581,28808,109.5,409.0,384.0,25.0,17.666666666666668,0.4812,35.92455,-95.87249,4.1,217127.0,0.014197445154123854,0.0008678144959733407,0.013329630658150514,3.006784260515604,Oklahoma
444,"Black Diamond, Washington",8.7,90233.0,92.8,1961,5485,129.0,56.0,53.0,3.0,19.0,0.468,47.31308,-122.00053999999999,3.7,477573.0,0.010209662716499545,0.0005469462169553327,0.009662716499544212,2.7970423253442123,Washington
445,"Black Hawk, Colorado",30.7,73509.0,84.7,1931,4618,12.9,207.0,199.0,8.0,14.5,0.4613498953178414,39.86909,-105.53235,4.587610195477113,350741.0,0.04482459939367692,0.0017323516673884798,0.04309224772628844,2.3915069911962714,Colorado
446,"Black Mountain, North Carolina",5.9,43899.0,93.4,5705,13398,51.1,136.0,124.0,12.0,15.0,0.4787,35.59867,-82.2902,2.4,281090.0,0.010150768771458426,0.0008956560680698612,0.009255112703388566,2.348466257668712,North Carolina
447,"Black River Falls, Wisconsin",13.5,51943.0,92.4,4031,10692,13.8,90.0,87.0,3.0,13.25,0.4613498953178414,44.26093,-90.78617,4.587610195477113,138689.0,0.008417508417508417,0.0002805836139169473,0.00813692480359147,2.652443562391466,Wisconsin
448,"Blackduck, Minnesota",25.1,44750.0,93.4,792,2216,3.0,3.0,3.0,0.0,14.0,0.4613498953178414,47.75704,-94.49916,4.587610195477113,119615.0,0.0013537906137184115,0.0,0.0013537906137184115,2.797979797979798,Minnesota
449,"Blackfoot, Idaho",18.2,51326.0,89.7,9035,27089,13.0,405.0,361.0,44.0,20.36842105263158,0.4613498953178414,43.336079999999995,-112.54511000000001,4.587610195477113,184143.0,0.014950718003617705,0.0016242755361955037,0.0133264424674222,2.998229109020476,Idaho
450,"Blacksburg, South Carolina",40.2,31002.0,73.3,3667,9978,39.2,105.0,92.0,13.0,13.5,0.4613498953178414,35.11336,-81.47683,4.587610195477113,61006.0,0.010523150932050512,0.0013028663058729205,0.009220284626177591,2.721025361330788,South Carolina
451,"Blacksburg, Virginia",43.7,46037.0,95.6,18198,55747,154.9,452.0,409.0,43.0,12.142857142857142,0.4909,37.25676,-80.42107,3.9,261208.0,0.008108059626526987,0.0007713419556209303,0.007336717670906058,3.0633586108363557,Virginia
452,"Blackshear, Georgia",33.0,37173.0,87.0,5285,14541,34.9,175.0,134.0,41.0,14.5,0.4613498953178414,31.30995,-82.25524,4.587610195477113,134755.0,0.012034935699057836,0.002819613506636407,0.00921532219242143,2.751371807000946,Georgia
453,"Blackstone, Virginia",15.9,38539.0,75.3,2486,6572,15.7,126.0,121.0,5.0,15.0,0.4613498953178414,37.089620000000004,-77.96733,4.587610195477113,115396.0,0.019172245891661596,0.0007608034083992696,0.018411442483262326,2.6436041834271924,Virginia
