,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
21,"Adamsville, Tennessee",30.2,34225.0,76.8,2177,6002,20.8,61.0,56.0,5.0,13.333333333333336,0.4613498953178414,35.25849,-88.39883,4.587610195477113,96235.0,0.01016327890703099,0.0008330556481172943,0.009330223258913695,2.7570050528249883,Tennessee
22,"Addison, Alabama",34.2,45074.0,85.1,1075,2436,12.6,15.0,14.0,1.0,15.5,0.4613498953178414,34.23388,-87.18817,4.587610195477113,89435.0,0.006157635467980296,0.00041050903119868636,0.005747126436781609,2.266046511627907,Alabama
23,"Addison, Texas",8.1,73578.0,95.5,8287,15000,1250.2,941.0,840.0,101.0,17.0,0.4931,32.96,-96.83847,3.8,346046.0,0.06273333333333334,0.006733333333333333,0.056,1.8100639555930975,Texas
24,"Adel, Georgia",30.8,40519.0,81.8,3747,10836,33.1,359.0,311.0,48.0,16.5,0.4613498953178414,31.118409999999997,-83.43765,4.587610195477113,94933.0,0.03313030638612034,0.004429678848283499,0.02870062753783684,2.8919135308246595,Georgia
25,"Adel, Iowa",9.8,82361.0,94.8,2792,7118,22.3,203.0,183.0,20.0,14.666666666666664,0.411,41.61057,-94.04271999999999,1.9,276800.0,0.02851924697948862,0.0028097780275358245,0.025709468951952797,2.549426934097421,Iowa
26,"Adelanto, California",38.5,33919.0,64.3,8151,33967,74.1,836.0,560.0,276.0,23.45454545454545,0.4394,34.64463,-117.54085,6.1,223259.0,0.024612123531663085,0.008125533606147144,0.01648658992551594,4.167218746166115,California
27,"Adrian, Michigan",25.9,45422.0,84.5,14690,40615,134.7,788.0,685.0,103.0,16.0,0.422,41.90299,-84.06361,3.3,123248.0,0.01940169887972424,0.0025360088637203003,0.01686569001600394,2.764805990469707,Michigan
28,"Adrian, Missouri",19.4,46638.0,84.7,1459,3574,11.3,39.0,35.0,4.0,12.25,0.4613498953178414,38.4049,-94.34313,4.587610195477113,134615.0,0.010912143256855064,0.001119194180190263,0.009792949076664802,2.4496230294722414,Missouri
29,"Advance, Missouri",13.7,48438.0,84.6,1216,3047,11.0,10.0,9.0,1.0,6.333333333333332,0.4613498953178414,37.097879999999996,-89.91707,4.587610195477113,92039.0,0.0032819166393173614,0.0003281916639317361,0.002953724975385625,2.5057565789473686,Missouri
30,"Afton, Wyoming",8.7,55982.0,92.9,1561,4587,11.3,27.0,27.0,0.0,13.4,0.4613498953178414,42.72279,-110.9013,4.587610195477113,229461.0,0.005886200130804447,0.0,0.005886200130804447,2.9385009609224855,Wyoming
31,"Agoura Hills, California",7.4,117615.0,95.6,9156,25631,288.6,268.0,253.0,15.0,26.0,0.5016,34.12274,-118.75726999999999,5.2,863304.0,0.01045608833053724,0.0005852288244703679,0.009870859506066872,2.799366535605068,California
32,"Agra, Oklahoma",22.8,48382.0,85.2,484,1445,13.1,0.0,0.0,0.0,12.5,0.4613498953178414,35.88646,-96.87416999999999,4.587610195477113,100795.0,0.0,0.0,0.0,2.9855371900826446,Oklahoma
33,"Ahoskie, North Carolina",35.4,36240.0,77.8,4632,11833,34.1,334.0,291.0,43.0,18.25,0.4613498953178414,36.28948,-76.99311,4.587610195477113,106854.0,0.02822614721541452,0.0036339051804276175,0.024592242034986903,2.5546200345423142,North Carolina
34,"Airway Heights, Washington",16.4,44674.0,88.9,1410,6798,334.3,359.0,353.0,6.0,16.0,0.4575,47.636520000000004,-117.58632,4.0,208970.0,0.052809649897028535,0.00088261253309797,0.05192703736393057,4.821276595744681,Washington
35,"Aitkin, Minnesota",20.8,48450.0,85.9,4186,8834,7.6,78.0,74.0,4.0,12.666666666666664,0.4613498953178414,46.48199,-93.6427,4.587610195477113,210602.0,0.008829522300203759,0.0004527960153950645,0.008376726284808693,2.1103678929765888,Minnesota
36,"Alabaster, Alabama",11.1,75319.5,88.8,11650,34952,247.05,585.0,488.0,97.0,18.571428571428573,0.4589,33.219485,-86.83481,3.1,183707.5,0.016737239642938887,0.002775234607461662,0.013962005035477227,3.0001716738197426,Alabama
37,"Alachua, Florida",17.1,54802.0,93.3,5665,14630,39.8,348.0,306.0,42.0,19.166666666666668,0.5167,29.8165,-82.49209,5.7,198333.0,0.02378673957621326,0.0028708133971291866,0.020915926179084075,2.5825242718446604,Florida
38,"Alamo, Georgia",35.5,33897.0,70.0,853,4766,11.1,43.0,41.0,2.0,13.5,0.4613498953178414,32.12818,-82.79818,4.587610195477113,80210.0,0.00902224087284935,0.000419639110365086,0.008602601762484263,5.587338804220399,Georgia
39,"Alamo, Tennessee",18.3,34432.0,78.5,1738,4656,26.9,20.0,13.0,7.0,13.75,0.4613498953178414,35.81094,-89.15658,4.587610195477113,82394.0,0.00429553264604811,0.0015034364261168386,0.0027920962199312715,2.678941311852704,Tennessee
40,"Alamosa, Colorado",34.8,35776.0,80.8,5744,15477,13.8,626.0,583.0,43.0,23.5,0.4613498953178414,37.48369,-105.83006,4.587610195477113,182855.0,0.040447115073980744,0.002778316211152032,0.037668798862828715,2.6944637883008355,Colorado
41,"Albany, California",9.6,89425.0,95.4,7913,21040,5128.1,562.0,533.0,29.0,21.5,0.4591,37.8897,-122.29553999999999,3.8,1047918.0,0.026711026615969583,0.0013783269961977185,0.025332699619771862,2.6589157083280677,California
42,"Albany, Kentucky",33.5,31130.0,68.2,4007,10111,20.6,9.0,7.0,2.0,15.0,0.4613498953178414,36.731590000000004,-85.13322,4.587610195477113,86172.0,0.0008901196716447434,0.00019780437147660964,0.0006923153001681337,2.523334165210881,Kentucky
43,"Albany, Minnesota",11.7,68024.0,82.7,1971,5515,18.6,12.0,11.0,1.0,19.0,0.4302,45.627990000000004,-94.58870999999999,4.5,227095.0,0.0021758839528558476,0.00018132366273798732,0.0019945602901178605,2.798072044647387,Minnesota
44,"Albemarle, North Carolina",25.9,44270.0,82.7,10649,26601,77.7,878.0,771.0,107.0,14.25,0.4613498953178414,35.33623,-80.20477,4.587610195477113,119276.0,0.03300627795947521,0.004022405172737867,0.02898387278673734,2.497981031082731,North Carolina
45,"Albert Lea, Minnesota",16.2,47416.0,87.2,9091,21165,48.5,350.0,331.0,19.0,13.666666666666664,0.4613498953178414,43.66036,-93.32526,4.587610195477113,104494.0,0.01653673517599811,0.0008977084809827546,0.015639026695015355,2.3281267187328125,Minnesota
46,"Albertville, Alabama",28.7,36315.0,76.2,11630,34467,124.9,750.0,721.0,29.0,17.125,0.4746,34.29693,-86.21182999999999,4.7,100297.5,0.021759944294542605,0.0008413845127223141,0.020918559781820292,2.963628546861565,Alabama
47,"Albia, Iowa",14.0,48949.0,85.9,2447,5982,10.6,47.0,43.0,4.0,15.8,0.4613498953178414,41.026759999999996,-92.81433,4.587610195477113,105627.0,0.007856904045469742,0.0006686726847208291,0.007188231360748913,2.444626072742133,Iowa
48,"Albion, Illinois",16.2,48717.0,84.5,1471,3351,12.9,33.0,33.0,0.0,12.5,0.4613498953178414,38.381879999999995,-88.07484000000002,4.587610195477113,56333.0,0.009847806624888093,0.0,0.009847806624888093,2.2780421481985043,Illinois
49,"Albion, Indiana",18.4,54531.0,86.7,3247,8008,31.9,0.0,0.0,0.0,15.25,0.4613498953178414,41.36059,-85.42993,4.587610195477113,133705.0,0.0,0.0,0.0,2.4662765629812133,Indiana
50,"Albion, Michigan",31.2,36113.0,86.3,5239,14103,55.5,381.0,280.0,101.0,18.5,0.4321,42.28109,-84.75184,5.4,88564.0,0.027015528610933842,0.007161596823370914,0.01985393178756293,2.691925940064898,Michigan
